landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
no_oland	Kexp1p2_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.0277274314328525	0.0208844650390744	0.0186622561402998	0.00573726357303186	0.0700511667714876	0.00107962655928115	0.0830400409210805	0.1537142857
no_oland	Kexp1p2_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.0276937224780466	0.0174354943181575	0.0261083689790695	0.00305800298079873	0.0869153872778727	0	0.132534324791214	0.061375
no_oland	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.0308872518676024	0.0126700138093005	0.0552854132883899	0.00149630280861762	0.200900229314856	0	0.237775752806239	0.0082
no_oland	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0195837721790293	0.0113351853507478	0.0268613439656939	0.00169749781384162	0.12620864305094	0	0.141916595791802	0.0084
no_oland	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.0367121083786047	0.0284655387788678	0.0277877392521031	0.00736764651651267	0.102905257737369	0.00618126564921918	0.15166042802582	0.016125
no_oland	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0259584255049669	0.0134134873212849	0.0341620855381481	0.00294069576919244	0.118499521323969	0.00105817023297298	0.131485459616534	0.1537142857
no_oland	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.0291171551053997	0.015597486600919	0.03219507554801	0.00417480197518912	0.107823435391847	0.00193279590843499	0.112937024435339	0.061375
no_oland	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.0189152952270601	0.0107234070509399	0.0288019565888786	0	0.118649738665561	0	0.165832143219237	0.0082
no_oland	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.0269336014724825	0.0191888331066215	0.0259413593959529	0.000835151236812225	0.101806701402452	0	0.122999326140019	0.0084
no_oland	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0423560280228033	0.0293867441613393	0.0349566118169642	0.00797120105947916	0.101225669836551	0.00418991307996467	0.209764317381182	0.016125
no_oland	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.0427740787627061	0.0350851774466592	0.0383084126443692	0.00346224700727965	0.148052711479414	0.00321302583761517	0.160761384674722	0.1537142857
no_oland	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0227215306295367	0.0156942632652723	0.017573901754652	0.00295271026050599	0.0638657009569307	0.00271444017327297	0.0696067610979657	0.061375
no_oland	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.0182734209470101	0.011007954977249	0.0171337764077623	0.00211486825797201	0.0612913810948057	0	0.0954046901832283	0.0082
no_oland	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0207714061072157	0.0157269891432981	0.0254410708179106	0.00324513809274642	0.0575973397637971	0.00234616074124908	0.184529523893932	0.0084
no_oland	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.0431030175906533	0.0175260505478141	0.0495126549080857	0.00520606547324189	0.140924094930948	0.00452951588839118	0.150097546229289	0.016125
no_oland	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0353747625185693	0.0172691293939916	0.0452658958789769	0.00547049163755546	0.163762675935327	0.00356391941059914	0.219361304930676	0.1537142857
no_oland	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0218008913808676	0.0156132910888667	0.0191787981797602	0.00415324479566217	0.0703957539977736	0.00248348676340563	0.08615424720564	0.061375
no_oland	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0221795521018445	0.0146026805961019	0.045302393852083	0.00101519482724274	0.0921658744021474	0	0.403973320578182	0.0082
no_oland	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0156467143270111	0.0123864833614638	0.013224375965652	0.000721533496036922	0.0527070404706967	0	0.0787014950064274	0.0084
no_oland	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.0296875027922553	0.0257748117935981	0.0164147504788012	0.00794473693507284	0.0705186766631086	0.00481066533330503	0.0948506473306504	0.016125
no_oland	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.0357251658720484	0.0292445485012325	0.0338414872162162	0.00532548103360731	0.158612178694926	0.00496125159384978	0.197104830305287	0.1537142857
no_oland	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.0143363847874263	0.0110818319198905	0.0102653643039709	0.00392021769235986	0.0392260902501339	0.000972815299405436	0.05794982787828	0.061375
no_oland	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.0211636235021826	0.0110612150686599	0.0389272325927313	0.00225116337300622	0.202374352900478	0	0.2088919044816	0.0082
no_oland	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.0139830101754562	0.0112322340898777	0.0139976862286356	0.00127761208028948	0.0464719008858209	0	0.0932586163253439	0.0084
no_oland	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.0482782884581426	0.0331773098530291	0.0420181340916688	0.00524001574715794	0.124670670108739	0.000952446361711324	0.187539927637138	0.016125
no_oland	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.0262946863503817	0.0189697092674425	0.0213070320316894	0.00211580350440984	0.0798722011991297	0	0.0923159029679109	0.1537142857
no_oland	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.02463453955148	0.0195293274999278	0.0197929006685416	0.00403075694742823	0.0836583210254592	0.0031981427247526	0.0871312395898911	0.061375
skane_only	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.0210464983013533	0.0143071728255362	0.0312125779927748	0.00211714415588514	0.155905666885089	0	0.18237366778109	0.0082
skane_only	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0287068436376787	0.015575679248227	0.0463445471596317	0.0018713125766692	0.210461358052792	0	0.216137787038037	0.0084
skane_only	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.0363442470424302	0.0190043092537498	0.0444170018425227	0.00208860052757034	0.142705592242455	0.00163185857317806	0.146379282196311	0.016125
skane_only	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0305788447573035	0.0209410645848482	0.0283068791464507	0.00317415635226456	0.100215079749616	0	0.130710095274574	0.1537142857
skane_only	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.0165601573946229	0.0147279686083616	0.0121989152116617	0.00348817380123088	0.0564396985637387	0.000935821951390457	0.0576154932325028	0.061375
skane_only	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.016313693158139	0.010975297533689	0.0254785205490327	0.00177033274490022	0.0793701841827125	0	0.203350427488157	0.0082
skane_only	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.0195505605454181	0.00994349688964061	0.0291843071206649	0	0.132608073903439	0	0.13859867596611	0.0084
skane_only	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0277602766100448	0.020418417104092	0.0261405247416721	0.00566327258831907	0.106944818036371	0.00423165164801298	0.129764194457387	0.016125
skane_only	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.0203449866640594	0.0144844295284117	0.0198399931324109	0.00484019821779238	0.0876308187529738	0.00354722213878505	0.0926605322970725	0.1537142857
skane_only	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0341286237534533	0.0164912536362589	0.0402898674470562	0.00339579857056154	0.135947610466011	0.00107224541332842	0.150057124701903	0.061375
skane_only	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.0199177312357989	0.0127603369744085	0.0280549583848844	0	0.119960215042267	0	0.123811738798918	0.0082
skane_only	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0312015245236329	0.0149429522545903	0.0454190345497973	0.0025758867208678	0.165394086972923	0	0.262948769339128	0.0084
skane_only	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.0330808693568488	0.0175689512105643	0.0301181229953562	0.00629423691025567	0.112514053921401	0.00526239091223349	0.120135348911703	0.016125
skane_only	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0275057846307375	0.0206583730587106	0.0204773670274394	0.00476851025575874	0.0870736708940278	0.00340050307116543	0.0895820512016269	0.1537142857
skane_only	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0144116602464808	0.0129092129266869	0.00852450120324491	0.00385596466927379	0.0386610948163913	0.00327407270136764	0.0529343110733318	0.061375
skane_only	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0231819588774454	0.0156955351133629	0.0279612930227881	0.00266531920494749	0.12215308387137	0.00204615437297011	0.129381126724671	0.0082
skane_only	Kexp1p2_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0226679940370597	0.00970904815715281	0.0325993954687727	0.000656466780696564	0.107235095993412	0	0.14041660526933	0.0084
skane_only	Kexp1p2_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.0265680052138283	0.0162087161337843	0.0251572328633326	0.00283424471255949	0.0866737332354281	0	0.10425986343373	0.016125
skane_only	Kexp1p2_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.0464512469213437	0.018889248043787	0.0542187493937573	0.00408545349395504	0.1638701859277	0.00119577700245279	0.219301554817044	0.1537142857
skane_only	Kexp1p2_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.0224296795836334	0.0188269865143817	0.0155237017055526	0.00612528109134018	0.0720346159669539	0.00240662711102896	0.0884622770372824	0.061375
skane_only	Kexp1p2_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.0147061251016123	0.0116131325791493	0.0102091610433956	0.00251074614795304	0.0411488690313589	0	0.0513995829577831	0.0082
skane_only	Kexp1p2_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.0242588876357204	0.0139402452970156	0.0243572612621989	0.00207069187348208	0.0831746064333872	0	0.108889389192178	0.0084
skane_only	Kexp1p2_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.0247767478562839	0.0178647139963563	0.0235505173953165	0.00545907511774989	0.0869521144739205	0.00402820114609395	0.0905097006759104	0.016125
skane_only	Kexp1p2_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.0437088411050796	0.0255651980394201	0.043241270955017	0.00254350766354972	0.150072811135786	0.0011850119474034	0.198821469220763	0.1537142857
skane_only	Kexp1p2_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.0113901005232577	0.0106174750171589	0.00609037668800628	0.00246561778193928	0.0276690463331806	0.00126095668077656	0.0315268480804959	0.061375
skane_only	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.0201192284372941	0.0127108988833509	0.0320265690377396	0.00156494386901819	0.0702483556489085	0.00129688735774734	0.23245004322734	0.0082
skane_only	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0380161981539841	0.0197071893221161	0.0460712562971144	0.0021031176728315	0.16422101538257	0.00139197252870103	0.197455064251183	0.0084
skane_only	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.045823274758079	0.0273926929499433	0.0464771179540248	0.00815563275178499	0.18278091515371	0.00332057585769432	0.213384423148327	0.016125
skane_only	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0263809128918676	0.0210055663745958	0.0215828679905399	0.00406292379795304	0.0872974468012044	0.00175233551337135	0.0956140162728527	0.1537142857
skane_only	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.0186041320652969	0.016843436119835	0.00973419461677106	0.00488778903942233	0.0388480632645905	0.00282445826114788	0.0415168855717369	0.061375
skane_only	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.0128828152482733	0.012106284251773	0.00913387154976257	0.000875410070939943	0.0289074688033094	0	0.0619643253454042	0.0082
skane_only	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.0164459924234524	0.0125974009674516	0.0136301058972892	0.00202305322150987	0.0528829090422278	0	0.0707391939783455	0.0084
skane_only	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0452650954294092	0.0274907479184689	0.0341664257034077	0.0106979731557673	0.128475330395145	0.00906482288204754	0.146542608150602	0.016125
skane_only	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.0615502948352313	0.0424655966290488	0.0507070008559876	0.00506454410475149	0.158849862662172	0.00440903156981884	0.266470750043147	0.1537142857
skane_only	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0188743152098725	0.0110812831529478	0.0219102298875468	0.00300133601508636	0.0911101348331999	0.00079121217788478	0.117369770115459	0.061375
skane_only	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.011321623550629	0.00969315070162888	0.00729920593770998	0.00164679226482909	0.026517101204865	0	0.0339889458453023	0.0082
skane_only	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0432610132360521	0.0182486726683435	0.0567523816930834	0.00387268369347165	0.214015570984386	0.00197808144775721	0.218218690625031	0.0084
skane_only	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.066408899922935	0.0326664465659301	0.0704182235356911	0.00589365366654565	0.262655375612508	0.003673930120095	0.302779616900245	0.016125
skane_only	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0325711858080007	0.0297951120791643	0.0231147157392225	0.00370901173009538	0.0905377715345869	0.00211541079018433	0.0984472843185989	0.1537142857
skane_only	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0279600624463209	0.0181552538120709	0.0304495432070455	0.00491349150759269	0.133272934106803	0.00148817201935234	0.149504522846756	0.061375
skane_only	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0147758222736781	0.0118046871049685	0.0134607481321685	0.00183385155009746	0.0579832089194745	0	0.0670451479989581	0.0082
skane_only	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0200056090437619	0.0136239127893894	0.0204014941422534	0.00180835880774042	0.0703700347115105	0	0.114980666101321	0.0084
skane_only	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.0313934224355243	0.016346466320507	0.0377192630009922	0.00441143722113924	0.145598319693699	0.00189986989187716	0.180686273993317	0.016125
skane_only	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.0609606620023358	0.0282504373552634	0.0540172893982689	0.00782457177750973	0.17628206234962	0.00370266982883334	0.201929456454072	0.1537142857
skane_only	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.0230649595702088	0.0174683945103886	0.0177975170137152	0.0051550441895549	0.0692958471796917	0.00206016794386039	0.0890217481633351	0.061375
skane_only	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.0153506212739047	0.0103911719229243	0.0166579595404072	0.0016808777936563	0.0743646007050351	0	0.0954725565138275	0.0082
skane_only	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.0223374864532038	0.012882661645178	0.0319850730545803	0.00360613790531345	0.128601255558106	0	0.201275236242232	0.0084
