scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
historical	rep003	2020	NW	20	12	0.0718347987864013	0.209389775420253	0.017220022592154	0.85	2009313.75	1262027.85	18096236	0.0024082863240202	0.00236797196759006	0.00771160879409226	0.0593469317006987	2020
historical	rep003	2020	NE	20	10	0.0371340570239354	0.0623893584433478	0.00408496947228866	0.8	1170621.7	644856.75	4260657	0.00422489342171244	0.00394952346111675	0	0.0289596401411062	2020
historical	rep003	2020	W	20	12	0.012082807356359	0.0127287879457996	0.0125926389616059	0.8	298245.416666667	189066.4	560451	0.00288403240043986	0.00639694396983636	0.00280183098608281	0	2020
historical	rep003	2020	E	20	11	0.0113201375155727	0.0178261393431042	0.00865107197554911	0.65	310720.636363636	193014.25	925153	0.00346164769844045	0.00359939465712241	0.00425909516000985	0	2020
historical	rep003	2020	SE	20	11	0.0108961537196146	0.0139403301140678	0.00638181091438311	0.8	262304.227272727	164987.05	645269	0.0046292119928793	0.00460057797942101	0.00166636374731433	0	2020
historical	rep004	1900	NW	20	11	0.00979836675595169	0.0106490336035959	0.00837914181527146	0.8	246103.772727273	148661.65	589415	0.00517437127706822	0.0031018709259865	0.00152212455289698	0	1900
historical	rep004	1900	NE	20	11	0.0120866112796837	0.015708449627154	0.00838027808564679	0.75	301540.46969697	177898.4	630552	0.00307203608133609	0.00738621711265537	0.00162835808569224	0	1900
historical	rep004	1900	W	20	11	0.0185504325084062	0.0350266219707828	0.0111333320834359	0.75	540600.545454545	315392.55	2980947	0.00427861835100415	0.00450308598121776	0.00207063325226044	0.00769809492392386	1900
historical	rep004	1900	E	20	10	0.0115879925970952	0.0154412049327291	0.00283928142468059	0.7	316149.716666667	179244.3	643828	0.00363461903875761	0.00488994988995996	0.00306342366837763	0	1900
historical	rep004	1900	SE	20	10	0.0273004710512138	0.0374094646954513	0.00829856991592994	0.8	827730.183333333	465377.1	2072560	0.0028066291459859	0.00360538848335227	0.00350525723895905	0.0173831961829166	1900
historical	rep004	2020	NW	20	14	0.0276940647794972	0.031587992631228	0.0187432705032629	1.15	468537.55952381	380399.2	1323640	0.00278882327271796	0.00981916825111823	0.0029269033652145	0.0121591698904465	2020
historical	rep004	2020	NE	20	13	0.0364538623353693	0.10190551845583	0.0091077235447979	0.75	974882	682667.5	8821260	0.00372148432651886	0.0030959881443615	0.00246285054393005	0.0271735393205589	2020
historical	rep004	2020	W	20	14	0.0364680889569549	0.0942467002207773	0.0104207614364709	1.15	424957.267857143	544751.7	6562342	0.00435365351469861	0.00851226621947197	0.00387781963556813	0.0197243495872162	2020
historical	rep004	2020	E	20	15	0.0341540226889436	0.0741229804949347	0.0133092640278647	1.25	482409.166666667	401829.9	3322317	0.00715943820520103	0.00461200782642375	0.00536774383548788	0.0170148328218309	2020
historical	rep004	2020	SE	20	12	0.0180652683000347	0.0240461042757099	0.0102627165569933	1.05	294343.513888889	235750.15	1025431	0.00569593487394036	0.00591998931492658	0.00380123759470362	0.00264810651646412	2020
historical	rep005	1900	NW	20	10	0.0104567941195322	0.0223868653717489	0.00305842666115885	0.55	310465.5	194946.1	1738815	0.00333341700415188	0.000726342760400502	0.00190666168980242	0.00449037266517743	1900
historical	rep005	1900	NE	20	7	0.00916771862061528	0.0162257920216046	0	0.65	265249.357142857	108350.2	530629	0.00346225457011819	0.00433515038460945	0.00137031366588765	0	1900
historical	rep005	1900	W	20	14	0.0566751959252931	0.162207365772993	0.018954720090381	1.25	668718.69047619	571916.45	5891137	0.0042736988167655	0.00764693435027466	0.00769881542263912	0.0370557473356138	1900
historical	rep005	1900	E	20	12	0.0148234863367877	0.0184467689377421	0.00998363305821645	0.85	315461.638888889	231610	946661	0.00481190360977087	0.00285407876388658	0.0071575039631303	0	1900
historical	rep005	1900	SE	20	12	0.0136607253671173	0.023268234696593	0.00873763511868783	0.8	359192.166666667	224925.85	1991019	0.00518935971629188	0.00332969313624001	0	0.00514167251458545	1900
