state	scenario	rep	year	region	roh_class	FROH_contribution
2140 R2	restore_2km	rep005	2140	NE	250-500kb	0.00113748610517135
2140 R2	restore_2km	rep005	2140	W	250-500kb	0.00907373356597953
2140 R2	restore_2km	rep005	2140	E	250-500kb	0.00886020512056113
2140 R2	restore_2km	rep005	2140	SE	250-500kb	0.00367348981532456
2140 R2	restore_2km	rep008	2140	NW	250-500kb	0.0084753968282252
2140 R2	restore_2km	rep008	2140	NE	250-500kb	0.00976208874178664
2140 R2	restore_2km	rep008	2140	W	250-500kb	0.0104506711716688
2140 R2	restore_2km	rep008	2140	E	250-500kb	0.0050153321610122
2140 R2	restore_2km	rep008	2140	SE	250-500kb	0.00420851046884633
2140 R2	restore_2km	rep009	2140	NW	250-500kb	0.00849346869205828
2140 R2	restore_2km	rep009	2140	NE	250-500kb	0.0103105251330353
2140 R2	restore_2km	rep009	2140	W	250-500kb	0.00465352301404601
2140 R2	restore_2km	rep009	2140	E	250-500kb	0.00523012341600682
2140 R2	restore_2km	rep009	2140	SE	250-500kb	0.00790787884196901
2140 R4	restore_4km	rep001	2140	NW	250-500kb	0.00954711671650504
2140 R4	restore_4km	rep001	2140	NE	250-500kb	0.00342167164069023
2140 R4	restore_4km	rep001	2140	W	250-500kb	0.00358043960131578
2140 R4	restore_4km	rep001	2140	E	250-500kb	0.00367081957994253
2140 R4	restore_4km	rep001	2140	SE	250-500kb	0.00390894827898681
2140 R4	restore_4km	rep002	2140	NW	250-500kb	0.00573120315693097
2140 R4	restore_4km	rep002	2140	NE	250-500kb	0.00700840204799306
2140 R4	restore_4km	rep002	2140	W	250-500kb	0.00539346228246039
2140 R4	restore_4km	rep002	2140	E	250-500kb	0.00419575583388326
2140 R4	restore_4km	rep002	2140	SE	250-500kb	0.00665794269261681
2140 R4	restore_4km	rep003	2140	NW	250-500kb	0.00640493143408839
2140 R4	restore_4km	rep003	2140	NE	250-500kb	0.00372355801995384
2140 R4	restore_4km	rep003	2140	W	250-500kb	0.00541927627944173
2140 R4	restore_4km	rep003	2140	E	250-500kb	0.0047664527947577
2140 R4	restore_4km	rep003	2140	SE	250-500kb	0.00784060130601884
2140 R4	restore_4km	rep004	2140	NW	250-500kb	0.0040706627952902
2140 R4	restore_4km	rep004	2140	NE	250-500kb	0.00136254829084534
2140 R4	restore_4km	rep004	2140	W	250-500kb	0.00531246169929545
2140 R4	restore_4km	rep004	2140	E	250-500kb	0.00383675637366334
2140 R4	restore_4km	rep004	2140	SE	250-500kb	0.00398353668182916
2140 R4	restore_4km	rep005	2140	NW	250-500kb	0.00565524864720556
2140 R4	restore_4km	rep005	2140	NE	250-500kb	0.00268775718769777
2140 R4	restore_4km	rep005	2140	W	250-500kb	0.00153228126059282
2140 R4	restore_4km	rep005	2140	E	250-500kb	0.00351380509110074
2140 R4	restore_4km	rep005	2140	SE	250-500kb	0.0028742630576447
2140 R4	restore_4km	rep008	2140	NW	250-500kb	0.00788706185220645
2140 R4	restore_4km	rep008	2140	NE	250-500kb	0.0050471761382808
2140 R4	restore_4km	rep008	2140	W	250-500kb	0.00694286507166328
2140 R4	restore_4km	rep008	2140	E	250-500kb	0.00924270730052167
2140 R4	restore_4km	rep008	2140	SE	250-500kb	0.00387614880162987
