comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
2140_restoration_vs_statusquo	restore_6km	rep002	E-NEW02	0.04697149789102644	0.043028914876780934	-0.003942583014245507
1900_to_2020	shared_history	rep002	SE-NEW01	0.7817816526713144	0.7833305934361416	0.0015489407648272557
2020_to_2140	status_quo	rep002	SE-NEW01	0.7833305934361416	0.7848638482822841	0.0015332548461424178
2020_to_2140	restore_2km	rep002	SE-NEW01	0.7833305934361416	0.7845713146853827	0.001240721249241017
2020_to_2140	restore_4km	rep002	SE-NEW01	0.7833305934361416	0.7830782355612678	-0.0002523578748738764
2020_to_2140	restore_6km	rep002	SE-NEW01	0.7833305934361416	0.7839319414561685	0.0006013480200268706
2140_restoration_vs_statusquo	restore_2km	rep002	SE-NEW01	0.7848638482822841	0.7845713146853827	-0.0002925335969014009
2140_restoration_vs_statusquo	restore_4km	rep002	SE-NEW01	0.7848638482822841	0.7830782355612678	-0.0017856127210162942
2140_restoration_vs_statusquo	restore_6km	rep002	SE-NEW01	0.7848638482822841	0.7839319414561685	-0.0009319068261155472
1900_to_2020	shared_history	rep002	SE-NEW02	0.02457816155997602	0.03779803300343372	0.013219871443457699
2020_to_2140	status_quo	rep002	SE-NEW02	0.03779803300343372	0.05133375490396575	0.013535721900532031
2020_to_2140	restore_2km	rep002	SE-NEW02	0.03779803300343372	nan	nan
2020_to_2140	restore_4km	rep002	SE-NEW02	0.03779803300343372	0.05530546825297462	0.017507435249540897
2020_to_2140	restore_6km	rep002	SE-NEW02	0.03779803300343372	0.04578423389063607	0.007986200887202352
2140_restoration_vs_statusquo	restore_2km	rep002	SE-NEW02	0.05133375490396575	nan	nan
2140_restoration_vs_statusquo	restore_4km	rep002	SE-NEW02	0.05133375490396575	0.05530546825297462	0.003971713349008865
2140_restoration_vs_statusquo	restore_6km	rep002	SE-NEW02	0.05133375490396575	0.04578423389063607	-0.005549521013329679
1900_to_2020	shared_history	rep002	NEW01-NEW02	0.7812490029310976	0.7849288348154222	0.003679831884324636
2020_to_2140	status_quo	rep002	NEW01-NEW02	0.7849288348154222	0.7911230129538879	0.006194178138465678
2020_to_2140	restore_2km	rep002	NEW01-NEW02	0.7849288348154222	nan	nan
2020_to_2140	restore_4km	rep002	NEW01-NEW02	0.7849288348154222	0.7947690064287387	0.009840171613316517
2020_to_2140	restore_6km	rep002	NEW01-NEW02	0.7849288348154222	0.7888114090288924	0.003882574213470158
2140_restoration_vs_statusquo	restore_2km	rep002	NEW01-NEW02	0.7911230129538879	nan	nan
2140_restoration_vs_statusquo	restore_4km	rep002	NEW01-NEW02	0.7911230129538879	0.7947690064287387	0.0036459934748508394
2140_restoration_vs_statusquo	restore_6km	rep002	NEW01-NEW02	0.7911230129538879	0.7888114090288924	-0.00231160392499552
1900_to_2020	shared_history	rep003	NW-NE	0.007968453323651575	0.0110172530153312	0.0030487996916796246
2020_to_2140	status_quo	rep003	NW-NE	0.0110172530153312	0.014365012243358288	0.003347759228027089
2020_to_2140	restore_2km	rep003	NW-NE	0.0110172530153312	0.0167320447479021	0.0057147917325709
