comparison	scenario	rep	region	start_pi	end_pi	delta_pi	retention	percent_change
2020_to_2140	restore_6km	rep002	NW	0.000219245618602022	0.00021791142682524493	-1.3341917767770736e-06	0.9939146251346581	-0.6085374865341886
2140_restoration_vs_statusquo	restore_2km	rep002	NW	0.00021787817348353636	0.00021753195389667736	-3.462195868590039e-07	0.9984109487365187	-0.15890512634813003
2140_restoration_vs_statusquo	restore_4km	rep002	NW	0.00021787817348353636	0.00021676096392077854	-1.1172095627578224e-06	0.9948723199534154	-0.5127680046584593
2140_restoration_vs_statusquo	restore_6km	rep002	NW	0.00021787817348353636	0.00021791142682524493	3.3253341708564454e-08	1.000152623556444	0.015262355644396486
1900_to_2020	shared_history	rep002	NE	0.0002197752126096497	0.00021673265843326676	-3.042554176382954e-06	0.9861560630962194	-1.3843936903780607
2020_to_2140	status_quo	rep002	NE	0.00021673265843326676	0.0002162326068767003	-5.000515565664555e-07	0.9976927724682507	-0.23072275317492785
2020_to_2140	restore_2km	rep002	NE	0.00021673265843326676	0.00021672193808251346	-1.0720350753298672e-08	0.999950536523518	-0.004946347648204785
2020_to_2140	restore_4km	rep002	NE	0.00021673265843326676	0.00021617116378675643	-5.614946465103262e-07	0.997409275323021	-0.25907246769789616
2020_to_2140	restore_6km	rep002	NE	0.00021673265843326676	0.00021835546780429787	1.6228093710311125e-06	1.0074876088484412	0.7487608848441241
2140_restoration_vs_statusquo	restore_2km	rep002	NE	0.0002162326068767003	0.00021672193808251346	4.893312058131568e-07	1.002262985277203	0.22629852772029224
2140_restoration_vs_statusquo	restore_4km	rep002	NE	0.0002162326068767003	0.00021617116378675643	-6.144308994387071e-08	0.9997158472497216	-0.028415275027837694
2140_restoration_vs_statusquo	restore_6km	rep002	NE	0.0002162326068767003	0.00021835546780429787	2.122860927597568e-06	1.0098174875577763	0.9817487557776339
1900_to_2020	shared_history	rep002	W	0.0002184270887171201	0.00021867316489249388	2.4607617537378604e-07	1.0011265826817501	0.11265826817501434
2020_to_2140	status_quo	rep002	W	0.00021867316489249388	0.00021932510255213728	6.51937659643402e-07	1.0029813336262083	0.2981333626208338
2020_to_2140	restore_2km	rep002	W	0.00021867316489249388	0.0002182643448228956	-4.088200695982747e-07	0.9981304515814766	-0.18695484185233813
2020_to_2140	restore_4km	rep002	W	0.00021867316489249388	0.00021766375200107235	-1.0094128914215229e-06	0.9953839196870921	-0.4616080312907944
2020_to_2140	restore_6km	rep002	W	0.00021867316489249388	0.00021919205301678288	5.188881242890067e-07	1.0023728934665765	0.23728934665765422
2140_restoration_vs_statusquo	restore_2km	rep002	W	0.00021932510255213728	0.0002182643448228956	-1.0607577292416767e-06	0.9951635370648486	-0.48364629351513866
2140_restoration_vs_statusquo	restore_4km	rep002	W	0.00021932510255213728	0.00021766375200107235	-1.6613505510649248e-06	0.9924251691587834	-0.7574830841216573
2140_restoration_vs_statusquo	restore_6km	rep002	W	0.00021932510255213728	0.00021919205301678288	-1.3304953535439525e-07	0.9993933684115216	-0.060663158847840126
1900_to_2020	shared_history	rep002	E	0.00021876446148281185	0.00021847248021575463	-2.9198126705722114e-07	0.9986653167288776	-0.13346832711224055
2020_to_2140	status_quo	rep002	E	0.00021847248021575463	0.00021765503538659505	-8.1744482915958e-07	0.9962583624795567	-0.37416375204433194
2020_to_2140	restore_2km	rep002	E	0.00021847248021575463	0.00021798088486028286	-4.915953554717693e-07	0.9977498522697857	-0.2250147730214258
2020_to_2140	restore_4km	rep002	E	0.00021847248021575463	0.0002181237505332705	-3.4872968248414416e-07	0.9984037821050058	-0.15962178949942007
2020_to_2140	restore_6km	rep002	E	0.00021847248021575463	0.00021808577358222461	-3.867066335300163e-07	0.9982299526551439	-0.1770047344856085
2140_restoration_vs_statusquo	restore_2km	rep002	E	0.00021765503538659505	0.00021798088486028286	3.258494736878108e-07	1.001497091363446	0.14970913634460015
2140_restoration_vs_statusquo	restore_4km	rep002	E	0.00021765503538659505	0.0002181237505332705	4.687151466754359e-07	1.002153477156377	0.21534771563769262
2140_restoration_vs_statusquo	restore_6km	rep002	E	0.00021765503538659505	0.00021808577358222461	4.307381956295637e-07	1.001978994856997	0.19789948569970406
1900_to_2020	shared_history	rep002	SE	0.00021807511110110957	0.00021649233305333598	-1.5827780477735876e-06	0.9927420509393218	-0.7257949060678226
2020_to_2140	status_quo	rep002	SE	0.00021649233305333598	0.00021625942222098864	-2.3291083234733712e-07	0.9989241612898598	-0.10758387101401645
2020_to_2140	restore_2km	rep002	SE	0.00021649233305333598	0.00021641198105862197	-8.035199471401514e-08	0.9996288460030859	-0.03711539969141198
2020_to_2140	restore_4km	rep002	SE	0.00021649233305333598	0.0002175034386317172	1.0111055783812233e-06	1.004670399011923	0.467039901192301
2020_to_2140	restore_6km	rep002	SE	0.00021649233305333598	0.00021646774569017256	-2.4587363163422037e-08	0.9998864284807842	-0.011357151921576047
2140_restoration_vs_statusquo	restore_2km	rep002	SE	0.00021625942222098864	0.00021641198105862197	1.5255883763332198e-07	1.00070544365682	0.0705443656819904
2140_restoration_vs_statusquo	restore_4km	rep002	SE	0.00021625942222098864	0.0002175034386317172	1.2440164107285605e-06	1.005752426405067	0.5752426405067013
2140_restoration_vs_statusquo	restore_6km	rep002	SE	0.00021625942222098864	0.00021646774569017256	2.0832346918391509e-07	1.0009633035501733	0.09633035501732667
1900_to_2020	shared_history	rep002	NEW01	3.8968048197559174e-05	3.931306698939569e-05	3.4501879183651297e-07	1.008853889475997	0.8853889475997079
2020_to_2140	status_quo	rep002	NEW01	3.931306698939569e-05	3.7943748341326893e-05	-1.369318648068794e-06	0.9651688674292913	-3.483113257070869
2020_to_2140	restore_2km	rep002	NEW01	3.931306698939569e-05	3.842724918094352e-05	-8.85817808452166e-07	0.9774675985292344	-2.253240147076563
2020_to_2140	restore_4km	rep002	NEW01	3.931306698939569e-05	3.8941428163301375e-05	-3.71638826094312e-07	0.9905466844854777	-0.9453315514522331
