sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence	in_study_region	clc_index_extracted	hilda_code	hilda_class	clc_code_extracted	clc_name_extracted
420	Västra Ringstad, slinga 2	T	12	6609950.68708184	394244.488475666	Värmlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
313	Västra Ringstad	T	17	6609804.34883338	394540.126033552	Värmlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
859	Fjällsviken NO	T	3	6608685.93868782	385244.181174317	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2801	Prästgårdsön, Pannkakan	T	2	6608004.5379006	415888.099757385	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	44	forest	324	Transitional woodland-shrub
569	L. Harsjön	T	340	6606333.95520393	688465.784322554	Stockholms län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
352	Bäcktorpet, Torphyttan	P	6	6605876.50862744	511252.956869162	Örebro län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
2836	Oppgårda	T	3	6604697.87106451	579209.391622513	Västmanlands län	Biogeografisk uppföljning av fjärilar, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	22	cropland	243	Land principally occupied by agriculture with significant areas of natural vegetation
351	Trädgård Urby	P	1	6603118.33166714	585062.0079972	Västmanlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	11	urban	112	Discontinuous urban fabric
2768	Kocktorp 2, Ängsö	T	5	6601844.93068236	606178.165430919	Västmanlands län	Svensk Dagfjärilsövervakning, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	22	cropland	324	Transitional woodland-shrub
236	Dyuddens sydspets	P	2	6601532.08585609	594318.875781121	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
