sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year	lat	lon	site_category	county	corine_1
395	Alvered 1:14	VGotSve	2	392.7	5.09294626941686	2014/06/08	2014	23	159	6390220.85850262	322170.173468638		Västra Götalands län	11.0
422	Barum 2:12	SGot	2	392.7	5.09294626941686	2015/06/26	2015	26	177	6220487.46890921	459428.340873895		Skåne län	23.0
428	Viggbyholm	OSve	1	392.7	2.54647313470843	2018/07/10	2018	28	191	6594385.06803884	676787.583462579		Stockholms län	2.0
428	Viggbyholm	OSve	1	392.7	2.54647313470843	2019/06/07	2019	23	158	6594385.06803884	676787.583462579		Stockholms län	2.0
428	Viggbyholm	OSve	1	392.7	2.54647313470843	2019/06/09	2019	23	160	6594385.06803884	676787.583462579		Stockholms län	2.0
428	Viggbyholm	OSve	1	392.7	2.54647313470843	2019/06/23	2019	25	174	6594385.06803884	676787.583462579		Stockholms län	2.0
428	Viggbyholm	OSve	1	392.7	2.54647313470843	2023/06/06	2023	23	157	6594385.06803884	676787.583462579		Stockholms län	2.0
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.54647313470843	2016/06/11	2016	23	163	6581895.05091068	669605.158777292		Stockholms län	2.0
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.54647313470843	2018/06/02	2018	22	153	6581895.05091068	669605.158777292		Stockholms län	2.0
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.54647313470843	2018/06/04	2018	23	155	6581895.05091068	669605.158777292		Stockholms län	2.0
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.54647313470843	2023/06/06	2023	23	157	6581895.05091068	669605.158777292		Stockholms län	2.0
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.54647313470843	2023/06/17	2023	24	168	6581895.05091068	669605.158777292		Stockholms län	2.0
439	Johannelunds koloniträdgårdar	OSve	1	392.7	2.54647313470843	2023/06/21	2023	25	172	6581895.05091068	669605.158777292		Stockholms län	2.0
445	Vreten	OSve	1	392.7	2.54647313470843	2014/07/02	2014	27	183	6690051.84654503	644516.99207053		Uppsala län	24.0
445	Vreten	OSve	4	392.7	10.1858925388337	2018/06/24	2018	25	175	6690051.84654503	644516.99207053		Uppsala län	24.0
445	Vreten	OSve	1	392.7	2.54647313470843	2019/07/12	2019	28	193	6690051.84654503	644516.99207053		Uppsala län	24.0
453	Viksberget	OSve	2	392.7	5.09294626941686	2012/07/07	2012	27	189	6523434.29280799	641507.572511135		Södermanlands län	24.0
453	Viksberget	OSve	2	392.7	5.09294626941686	2012/07/20	2012	29	202	6523434.29280799	641507.572511135		Södermanlands län	24.0
453	Viksberget	OSve	1	392.7	2.54647313470843	2013/07/03	2013	27	184	6523434.29280799	641507.572511135		Södermanlands län	24.0
458	Bangårdsområdet	NSveSNor	2	392.7	5.09294626941686	2012/06/20	2012	25	172	6668439.45377837	510228.536469462		Dalarnas län	3.0
463	Läkärret	OSve	2	392.7	5.09294626941686	2014/07/23	2014	30	204	6621129.11477906	561579.697947686		Västmanlands län	24.0
463	Läkärret	OSve	1	392.7	2.54647313470843	2016/07/13	2016	28	195	6621129.11477906	561579.697947686		Västmanlands län	24.0
463	Läkärret	OSve	2	392.7	5.09294626941686	2022/06/26	2022	25	177	6621129.11477906	561579.697947686		Västmanlands län	24.0
464	Lönnbromossen	OSve	1	392.7	2.54647313470843	2016/07/13	2016	28	195	6628713.37899231	566631.015617656		Västmanlands län	29.0
485	Stibbetorp 106	OGot	1	392.7	2.54647313470843	2012/06/12	2012	24	164	6300396.46112722	540390.61785374		Kalmar län	24.0
485	Stibbetorp 106	OGot	1	392.7	2.54647313470843	2012/07/03	2012	27	185	6300396.46112722	540390.61785374		Kalmar län	24.0
486	Virsbo, Skräddartorp	OSve	3	392.7	7.63941940412529	2013/07/15	2013	29	196	6638667.78384569	561311.377163208		Västmanlands län	24.0
490	Ängsö Nationalpark	OSve	1	392.7	2.54647313470843	2012/07/04	2012	27	186	6615742.16628301	711965.339955814		Stockholms län	24.0
490	Ängsö Nationalpark	OSve	1	392.7	2.54647313470843	2013/07/01	2013	27	182	6615742.16628301	711965.339955814		Stockholms län	24.0
524	Gamla grustaget, Norrhult	OGot	2	392.7	5.09294626941686	2015/07/05	2015	27	186	6331946.83837268	511159.943979935		Kronobergs län	24.0
524	Gamla grustaget, Norrhult	OGot	2	392.7	5.09294626941686	2015/07/07	2015	28	188	6331946.83837268	511159.943979935		Kronobergs län	24.0
524	Gamla grustaget, Norrhult	OGot	1	392.7	2.54647313470843	2015/08/09	2015	32	221	6331946.83837268	511159.943979935		Kronobergs län	24.0
524	Gamla grustaget, Norrhult	OGot	1	392.7	2.54647313470843	2016/06/06	2016	23	158	6331946.83837268	511159.943979935		Kronobergs län	24.0
529	Enehusa	SGot	1	392.7	2.54647313470843	2015/06/25	2015	26	176	6164227.12093436	403764.425635953		Skåne län	23.0
536	Listrehagen	OSve	10	392.7	25.4647313470843	2013/07/06	2013	27	187	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	2	392.7	5.09294626941686	2013/07/27	2013	30	208	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	1	392.7	2.54647313470843	2013/08/02	2013	31	214	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	2	392.7	5.09294626941686	2014/06/10	2014	24	161	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	3	392.7	7.63941940412529	2014/07/05	2014	27	186	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	3	392.7	7.63941940412529	2016/06/29	2016	26	181	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	5	392.7	12.7323656735421	2018/06/04	2018	23	155	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	3	392.7	7.63941940412529	2018/06/13	2018	24	164	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	4	392.7	10.1858925388337	2023/06/21	2023	25	172	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	1	392.7	2.54647313470843	2024/06/24	2024	26	176	6581872.86944441	516624.23079875		Örebro län	20.0
536	Listrehagen	OSve	1	392.7	2.54647313470843	2025/06/21	2025	25	172	6581872.86944441	516624.23079875		Örebro län	20.0
571	Risatorpet	OGot	1	392.7	2.54647313470843	2016/06/19	2016	24	171	6393919.47165014	495307.57528253		Jönköpings län	24.0
571	Risatorpet	OGot	2	392.7	5.09294626941686	2016/06/24	2016	25	176	6393919.47165014	495307.57528253		Jönköpings län	24.0
571	Risatorpet	OGot	1	392.7	2.54647313470843	2017/06/20	2017	25	171	6393919.47165014	495307.57528253		Jönköpings län	24.0
571	Risatorpet	OGot	1	392.7	2.54647313470843	2017/06/22	2017	25	173	6393919.47165014	495307.57528253		Jönköpings län	24.0
571	Risatorpet	OGot	1	392.7	2.54647313470843	2017/07/02	2017	26	183	6393919.47165014	495307.57528253		Jönköpings län	24.0
571	Risatorpet	OGot	1	392.7	2.54647313470843	2018/06/16	2018	24	167	6393919.47165014	495307.57528253		Jönköpings län	24.0
575	Sörby Tall	OGot	1	392.7	2.54647313470843	2013/07/15	2013	29	196	6298598.45557517	605688.666625364		Kalmar län	21.0
576	Källbo	OSve	1	392.7	2.54647313470843	2017/07/15	2017	28	196	6623298.45871945	644801.141189224		Uppsala län	25.0
576	Källbo	OSve	1	392.7	2.54647313470843	2023/07/10	2023	28	191	6623298.45871945	644801.141189224		Uppsala län	25.0
592	Bjärkefall, Hästhagen	OGot	1	392.7	2.54647313470843	2014/06/19	2014	25	170	6416854.77717776	531094.943750322		Östergötlands län	24.0
593	Listregården	OSve	6	392.7	15.2788388082506	2018/06/12	2018	24	163	6581819.97297645	516713.841172224		Örebro län	24.0
593	Listregården	OSve	1	392.7	2.54647313470843	2023/06/21	2023	25	172	6581819.97297645	516713.841172224		Örebro län	24.0
618	Gullaskruv	OGot	1	392.7	2.54647313470843	2017/07/15	2017	28	196	6303619.40977678	541236.358963365		Kalmar län	2.0
618	Gullaskruv	OGot	1	392.7	2.54647313470843	2021/06/12	2021	23	163	6303619.40977678	541236.358963365		Kalmar län	2.0
624	Ersdalens naturreservat	VGotSve	1	392.7	2.54647313470843	2014/05/25	2014	21	145	6400112.52004008	298616.189035638		Västra Götalands län	32.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2014/06/10	2014	24	161	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	2	392.7	5.09294626941686	2014/06/21	2014	25	172	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2015/06/23	2015	26	174	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	5	392.7	12.7323656735421	2016/06/26	2016	25	178	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	3	392.7	7.63941940412529	2016/07/17	2016	28	199	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2018/06/02	2018	22	153	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	2	392.7	5.09294626941686	2019/06/07	2019	23	158	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2020/06/04	2020	23	156	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2021/06/26	2021	25	177	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	2	392.7	5.09294626941686	2022/06/27	2022	26	178	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2023/06/28	2023	26	179	6666677.78145677	510942.799967442		Dalarnas län	10.0
626	Högbergets gamla slalombacke	NSveSNor	1	392.7	2.54647313470843	2024/06/23	2024	25	175	6666677.78145677	510942.799967442		Dalarnas län	10.0
634	Äppleskogen	SGot	2	392.7	5.09294626941686	2016/08/15	2016	33	228	6224593.95536616	361992.878972442		Skåne län	2.0
635	Holma ängar	SGot	1	392.7	2.54647313470843	2016/07/05	2016	27	187	6202027.95534468	409960.162411423		Skåne län	18.0
686	Jordberg, östra infarten	VGotSve	1	392.7	2.54647313470843	2014/06/12	2014	24	163	6648763.80452173	399290.669653897		Värmlands län	24.0
