sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
51	2000	1251	0.2701838529176659	0.7114308553157475	0	0.014388489208633094	0.003996802557953637	1251	1
51	5000	7824	0.20449897750511248	0.7479550102249489	0.003962167689161554	0.029013292433537834	0.014570552147239263	7824	1
51	10000	31274	0.30143249984012277	0.6695337980431029	0.0014069194858348788	0.023789729487753406	0.0038370531431860333	31274	1
52	500	78	0.5128205128205128	0.28205128205128205	0	0	0.20512820512820512	78	1
52	1000	310	0.20967741935483872	0.5032258064516129	0	0	0.2870967741935484	310	1
52	2000	1251	0.06794564348521183	0.6338928856914469	0	0	0.2981614708233413	1251	1
52	5000	7828	0.07383750638732754	0.6728410832907511	0	0.012135922330097087	0.2411854879918242	7828	1
52	10000	31290	0.03620965164589326	0.8361457334611697	0	0.03771172898689677	0.08993288590604027	31290	1
53	500	77	0.16883116883116883	0.36363636363636365	0	0.4675324675324675	0	77	1
53	1000	310	0.33225806451612905	0.45483870967741935	0	0.2129032258064516	0	310	1
53	2000	1245	0.3823293172690763	0.4755020080321285	0.04417670682730924	0.09799196787148594	0	1249	0.9967974379503602
53	5000	5534	0.23870617997831586	0.5627032887603903	0.06270328876039032	0.07643657390675822	0.05945066859414529	7812	0.7083973374295955
53	10000	18021	0.2908273680705843	0.5365961933300039	0.08662116419732534	0.05748848565562399	0.02846678874646246	31269	0.5763215964693467
54	500	79	0.5189873417721519	0.10126582278481013	0	0.379746835443038	0	79	1
54	1000	315	0.45714285714285713	0.35555555555555557	0	0.1873015873015873	0	315	1
54	2000	1251	0.41886490807354115	0.478017585931255	0.020783373301358914	0.08233413269384493	0	1251	1
54	5000	5959	0.2347709347205907	0.5744252391340829	0.05839906024500755	0.078368853834536	0.05403591206578285	7829	0.7611444628943671
54	10000	18898	0.29860302677532014	0.5343951740924966	0.08376547782834162	0.056090591596994394	0.027145729706847286	31292	0.6039243257062508
55	500	79	1	0	0	0	0	79	1
55	1000	316	0.8164556962025317	0.06329113924050633	0.12025316455696203	0	0	316	1
55	2000	1251	0.6091127098321343	0.1950439648281375	0.14708233413269384	0.04876099120703437	0	1251	1
55	5000	7828	0.7544711292795094	0.18229432805314255	0.029764946346448645	0.03346959632089934	0	7828	1
55	10000	30507	0.6147113777165897	0.30465139148392173	0.021699937719211984	0.058937293080276655	0	31278	0.9753500863226549
56	500	78	0	1	0	0	0	78	1
56	1000	315	0.0031746031746031746	0.9079365079365079	0	0.08888888888888889	0	315	1
56	2000	1252	0.09105431309904154	0.8362619808306709	0	0.07268370607028754	0	1252	1
56	5000	7827	0.3173629743196627	0.6471189472339338	0.007410246582343171	0.027596780375622843	5.110514884374601e-4	7827	1
56	10000	29733	0.3888608616688528	0.5699391248780816	0.009955268556822387	0.029092254397470825	0.002152490498772408	31280	0.9505434782608696
57	500	78	0	1	0	0	0	78	1
57	1000	314	0	0.9936305732484076	0	0.006369426751592357	0	314	1
57	2000	1252	0.12859424920127796	0.810702875399361	0	0.06070287539936102	0	1252	1
57	5000	7830	0.2830140485312899	0.6704980842911877	0.010217113665389528	0.03295019157088123	0.0033205619412515963	7830	1
57	10000	31229	0.3906305036984854	0.5660443818245862	0.014409683307182427	0.026866053988280125	0.002049377181465945	31255	0.9991681330987042
58	500	81	1	0	0	0	0	81	1
58	1000	316	0.9810126582278481	0.0189873417721519	0	0	0	316	1
58	2000	1252	0.7100638977635783	0.28993610223642174	0	0	0	1252	1
58	5000	7827	0.36680720582598697	0.6064903539031558	0.003960649035390316	0.022741791235466973	0	7827	1
58	10000	31279	0.34930784232232487	0.6037277406566706	0.01160523034623869	0.031011221586367852	0.0043479650883979665	31279	1
59	500	79	0	1	0	0	0	79	1
59	1000	314	0.07961783439490445	0.856687898089172	0	0	0.06369426751592357	314	1
59	2000	1199	0.09424520433694746	0.7939949958298582	0	0	0.11175979983319433	1251	0.9584332533972821
59	5000	7331	0.2849543036420679	0.5644523257400081	0.09807666075569499	0.012276633474287273	0.040240076387941616	7822	0.9372283303502941
59	10000	28795	0.22625455808300052	0.6661573189789894	0.024969612779996528	0.024066678242750477	0.058551831915263065	31278	0.9206151288445553
60	500	75	0.4533333333333333	0.5466666666666666	0	0	0	75	1
60	1000	311	0.3279742765273312	0.6302250803858521	0	0.04180064308681672	0	311	1
60	2000	1246	0.17014446227929375	0.6685393258426966	0	0.1548956661316212	0.006420545746388443	1246	1
60	5000	7825	0.13559105431309904	0.7306070287539936	0	0.09955271565495208	0.03424920127795527	7825	1
60	10000	31289	0.17009172552654286	0.6544472498322094	0.028796062513982548	0.0544280737639426	0.09223688836332257	31289	1
61	500	79	0.5189873417721519	0.4430379746835443	0	0	0.0379746835443038	79	1
61	1000	315	0.2	0.5936507936507937	0	0	0.20634920634920634	315	1
61	2000	1254	0.050239234449760764	0.7703349282296651	0	0	0.17942583732057416	1254	1
