sit_uid	sit_name	segment_number	seg_uid	reg_code	geo_uid	sum	count_per_1000m	date	year	week	day_of_year	segment_length	corine_1
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2014-07-19	2014	29	200	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2015-06-29	2015	27	180	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	3	16.2244916592852	2017-07-06	2017	27	187	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2018-06-08	2018	23	159	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2022-06-21	2022	25	172	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2022-07-12	2022	28	193	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	3	16.2244916592852	2023-06-08	2023	23	159	184.905639141126	18.0
63	Trunelän, Maglehem	4	176	SGot	678	1	2.57687035304652	2010-07-03	2010	26	184	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	3	7.73061105913956	2011-06-27	2011	26	178	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	4	10.3074814121861	2013-06-07	2013	23	158	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	5	12.8843517652326	2014-07-04	2014	27	185	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	1	2.57687035304652	2015-06-29	2015	27	180	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	1	2.57687035304652	2015-07-07	2015	28	188	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	3	7.73061105913956	2015-07-14	2015	29	195	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	2	5.15374070609304	2017-06-27	2017	26	178	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	3	7.73061105913956	2017-07-06	2017	27	187	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	1	2.57687035304652	2017-07-19	2017	29	200	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	4	10.3074814121861	2018-06-08	2018	23	159	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	1	2.57687035304652	2020-06-25	2020	26	177	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	1	2.57687035304652	2022-06-21	2022	25	172	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	2	5.15374070609304	2022-07-12	2022	28	193	388.067641361058	18.0
63	Trunelän, Maglehem	4	176	SGot	678	6	15.4612221182791	2023-06-08	2023	23	159	388.067641361058	18.0
63	Trunelän, Maglehem	5	175	SGot	679	1	3.6791571312032	2010-07-03	2010	26	184	271.801383941699	18.0
63	Trunelän, Maglehem	5	175	SGot	679	1	3.6791571312032	2017-06-27	2017	26	178	271.801383941699	18.0
63	Trunelän, Maglehem	5	175	SGot	679	1	3.6791571312032	2023-06-08	2023	23	159	271.801383941699	18.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2010-07-03	2010	26	184	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	2	5.04414294745809	2013-07-07	2013	27	188	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2014-07-04	2014	27	185	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2015-06-29	2015	27	180	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2015-07-14	2015	29	195	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	3	7.56621442118714	2017-07-06	2017	27	187	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	2	5.04414294745809	2017-07-31	2017	31	212	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2018-06-08	2018	23	159	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2020-06-25	2020	26	177	396.499468954952	24.0
63	Trunelän, Maglehem	6	174	SGot	680	1	2.52207147372904	2022-07-12	2022	28	193	396.499468954952	24.0
74	Snogehall	3	203	SGot	641	1	6.46624700927	2018-06-15	2018	24	166	154.649211291558	21.0
76	Linjevägen pkt 13 - slinga	1	213	SGot	2554	1	4.63069896925114	2011-06-28	2011	26	179	215.950120411674	24.0
76	Linjevägen pkt 13 - slinga	1	213	SGot	2554	1	4.63069896925114	2012-06-21	2012	25	173	215.950120411674	24.0
76	Linjevägen pkt 13 - slinga	1	213	SGot	2554	1	4.63069896925114	2013-07-07	2013	27	188	215.950120411674	24.0
76	Linjevägen pkt 13 - slinga	2	212	SGot	2555	1	5.10276257958549	2014-07-22	2014	30	203	195.972276664542	24.0
107	Hällen, Angelbos	1	265	OGot	3948	1	4.8747749221503	2013-07-21	2013	29	202	205.137676296836	24.0
107	Hällen, Angelbos	2	264	OGot	3944	1	3.74308667952823	2013-07-21	2013	29	202	267.159188556659	24.0
107	Hällen, Angelbos	3	263	OGot	3945	5	10.6624394617441	2013-06-21	2013	25	172	468.935839489599	24.0
107	Hällen, Angelbos	4	262	OGot	3946	2	5.88140803599521	2013-07-20	2013	29	201	340.054624293989	24.0
110	Nymans Fröjel - slinga	1	279	OGot	3956	2	4.89778366585018	2011-06-05	2011	22	156	408.347966437352	21.0
110	Nymans Fröjel - slinga	1	279	OGot	3956	1	2.44889183292509	2011-06-29	2011	26	180	408.347966437352	21.0
110	Nymans Fröjel - slinga	1	279	OGot	3956	1	2.44889183292509	2013-07-18	2013	29	199	408.347966437352	21.0
110	Nymans Fröjel - slinga	2	278	OGot	3957	2	8.94353857058434	2011-06-29	2011	26	180	223.625132738632	18.0
110	Nymans Fröjel - slinga	3	277	OGot	3958	2	12.5899649699402	2010-06-25	2010	25	176	158.856677105551	18.0
110	Nymans Fröjel - slinga	3	277	OGot	3958	4	25.1799299398805	2011-06-05	2011	22	156	158.856677105551	18.0
110	Nymans Fröjel - slinga	3	277	OGot	3958	1	6.29498248497012	2016-06-02	2016	22	154	158.856677105551	18.0
111	Slite motionsslinga	1	285	OGot	3861	1	7.01819658540204	2011-07-30	2011	30	211	142.486746820403	2.0
111	Slite motionsslinga	2	284	OGot	3862	1	4.76925943938417	2013-07-07	2013	27	188	209.676158890011	2.0
111	Slite motionsslinga	2	284	OGot	3862	2	9.53851887876833	2016-07-17	2016	28	199	209.676158890011	2.0
111	Slite motionsslinga	2	284	OGot	3862	1	4.76925943938417	2017-07-14	2017	28	195	209.676158890011	2.0
111	Slite motionsslinga	3	283	OGot	3863	1	4.32864271416873	2010-06-21	2010	25	172	231.019297741241	2.0
111	Slite motionsslinga	3	283	OGot	3863	1	4.32864271416873	2013-06-21	2013	25	172	231.019297741241	2.0
111	Slite motionsslinga	3	283	OGot	3863	1	4.32864271416873	2014-07-08	2014	28	189	231.019297741241	2.0
111	Slite motionsslinga	3	283	OGot	3863	2	8.65728542833745	2015-06-21	2015	25	172	231.019297741241	2.0
111	Slite motionsslinga	3	283	OGot	3863	2	8.65728542833745	2015-07-12	2015	28	193	231.019297741241	2.0
111	Slite motionsslinga	3	283	OGot	3863	1	4.32864271416873	2016-07-07	2016	27	189	231.019297741241	2.0
111	Slite motionsslinga	3	283	OGot	3863	1	4.32864271416873	2019-07-13	2019	28	194	231.019297741241	2.0
111	Slite motionsslinga	5	281	OGot	3865	3	5.36529879910002	2010-07-02	2010	26	183	559.148728213091	21.0
111	Slite motionsslinga	5	281	OGot	3865	1	1.78843293303334	2011-07-07	2011	27	188	559.148728213091	21.0
111	Slite motionsslinga	5	281	OGot	3865	1	1.78843293303334	2013-07-07	2013	27	188	559.148728213091	21.0
111	Slite motionsslinga	5	281	OGot	3865	1	1.78843293303334	2014-07-08	2014	28	189	559.148728213091	21.0
111	Slite motionsslinga	5	281	OGot	3865	1	1.78843293303334	2016-07-01	2016	26	183	559.148728213091	21.0
111	Slite motionsslinga	5	281	OGot	3865	2	3.57686586606668	2016-07-17	2016	28	199	559.148728213091	21.0
111	Slite motionsslinga	6	280	OGot	3866	2	10.382938140465	2010-06-21	2010	25	172	192.623703709212	21.0
111	Slite motionsslinga	6	280	OGot	3866	2	10.382938140465	2010-07-02	2010	26	183	192.623703709212	21.0
111	Slite motionsslinga	6	280	OGot	3866	1	5.19146907023248	2012-07-04	2012	27	186	192.623703709212	21.0
111	Slite motionsslinga	6	280	OGot	3866	2	10.382938140465	2015-06-21	2015	25	172	192.623703709212	21.0
113	Grostädeviken	1	294	OGot	3867	1	10.3498921428498	2010-07-11	2010	27	192	96.6193643564535	24.0
