year	code	cells	hilda_label	model_class	suitability	area_km2
1930	55	1325	Unmanaged grass / shrubland	Grassland	1	1625.5888093415617
1930	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1930	77	1534	Water	Unsuitable	0	1882.0024403999664
1931	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1931	11	854	Urban	Urban	0.1	1047.7379948510895
1931	22	9170	Cropland	Cropland	0.5	11250.301420122356
1931	33	666	Pasture / rangeland	Grassland	1	817.0884128464
1931	44	33252	Forest	Forest	0.3	40795.53138734008
1931	55	1339	Unmanaged grass / shrubland	Grassland	1	1642.7648420440385
1931	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1931	77	1534	Water	Unsuitable	0	1882.0024403999664
1932	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1932	11	856	Urban	Urban	0.1	1050.1917138085862
1932	22	9174	Cropland	Cropland	0.5	11255.20885803735
1932	33	658	Pasture / rangeland	Grassland	1	807.2735370164132
1932	44	33260	Forest	Forest	0.3	40805.34626317007
1932	55	1333	Unmanaged grass / shrubland	Grassland	1	1635.4036851715484
1932	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1932	77	1534	Water	Unsuitable	0	1882.0024403999664
1933	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1933	11	858	Urban	Urban	0.1	1052.6454327660829
1933	22	9173	Cropland	Cropland	0.5	11253.9819985586
1933	33	646	Pasture / rangeland	Grassland	1	792.5512232714331
1933	44	33272	Forest	Forest	0.3	40820.06857691505
1933	55	1332	Unmanaged grass / shrubland	Grassland	1	1634.1768256928
1933	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1933	77	1534	Water	Unsuitable	0	1882.0024403999664
1934	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1934	11	860	Urban	Urban	0.1	1055.0991517235796
1934	22	9170	Cropland	Cropland	0.5	11250.301420122356
1934	33	640	Pasture / rangeland	Grassland	1	785.190066398943
1934	44	33285	Forest	Forest	0.3	40836.01775013878
1934	55	1326	Unmanaged grass / shrubland	Grassland	1	1626.81566882031
1934	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1934	77	1534	Water	Unsuitable	0	1882.0024403999664
1935	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1935	11	861	Urban	Urban	0.1	1056.3260112023281
1935	22	9170	Cropland	Cropland	0.5	11250.301420122356
1935	33	624	Pasture / rangeland	Grassland	1	765.5603147389694
1935	44	33305	Forest	Forest	0.3	40860.554939713744
1935	55	1321	Unmanaged grass / shrubland	Grassland	1	1620.6813714265684
1935	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1935	77	1534	Water	Unsuitable	0	1882.0024403999664
1936	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1936	11	865	Urban	Urban	0.1	1061.2334491173215
1936	22	9158	Cropland	Cropland	0.5	11235.579106377376
1936	33	630	Pasture / rangeland	Grassland	1	772.9214716114595
1936	44	33268	Forest	Forest	0.3	40815.161139000054
1936	55	1361	Unmanaged grass / shrubland	Grassland	1	1669.7557505765021
1936	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1936	77	1534	Water	Unsuitable	0	1882.0024403999664
1937	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1937	11	867	Urban	Urban	0.1	1063.6871680748181
1937	22	9151	Cropland	Cropland	0.5	11226.991090026137
1937	33	605	Pasture / rangeland	Grassland	1	742.2499846427509
1937	44	33307	Forest	Forest	0.3	40863.00865867124
1937	55	1352	Unmanaged grass / shrubland	Grassland	1	1658.714015267767
1937	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1937	77	1534	Water	Unsuitable	0	1882.0024403999664
1938	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1938	11	868	Urban	Urban	0.1	1064.9140275535665
1938	22	9149	Cropland	Cropland	0.5	11224.53737106864
1938	33	581	Pasture / rangeland	Grassland	1	712.8053571527904
1938	44	33340	Forest	Forest	0.3	40903.495021469935
1938	55	1344	Unmanaged grass / shrubland	Grassland	1	1648.8991394377804
1938	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1938	77	1534	Water	Unsuitable	0	1882.0024403999664
1939	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1939	11	870	Urban	Urban	0.1	1067.3677465110632
1939	22	9150	Cropland	Cropland	0.5	11225.764230547387
1939	33	565	Pasture / rangeland	Grassland	1	693.1756054928169
1939	44	33347	Forest	Forest	0.3	40912.083037821176
1939	55	1350	Unmanaged grass / shrubland	Grassland	1	1656.2602963102704
1939	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1939	77	1534	Water	Unsuitable	0	1882.0024403999664
1940	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1940	11	871	Urban	Urban	0.1	1068.5946059898115
1940	22	9147	Cropland	Cropland	0.5	11222.083652111143
1940	33	546	Pasture / rangeland	Grassland	1	669.8652753965982
1940	44	33362	Forest	Forest	0.3	40930.4859300024
1940	55	1356	Unmanaged grass / shrubland	Grassland	1	1663.6214531827604
1940	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1940	77	1534	Water	Unsuitable	0	1882.0024403999664
1941	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1941	11	878	Urban	Urban	0.1	1077.1826223410499
1941	22	9131	Cropland	Cropland	0.5	11202.45390045117
1941	33	551	Pasture / rangeland	Grassland	1	675.99957279034
1941	44	33327	Forest	Forest	0.3	40887.545848246205
1941	55	1395	Unmanaged grass / shrubland	Grassland	1	1711.468972853946
1941	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1941	77	1534	Water	Unsuitable	0	1882.0024403999664
1942	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1942	11	880	Urban	Urban	0.1	1079.6363412985465
1942	22	9129	Cropland	Cropland	0.5	11200.000181493673
1942	33	527	Pasture / rangeland	Grassland	1	646.5549453003796
1942	44	33368	Forest	Forest	0.3	40937.84708687489
1942	55	1377	Unmanaged grass / shrubland	Grassland	1	1689.3855022364758
1942	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1942	77	1534	Water	Unsuitable	0	1882.0024403999664
1943	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1943	11	883	Urban	Urban	0.1	1083.3169197347918
1943	22	9128	Cropland	Cropland	0.5	11198.773322014924
1943	33	507	Pasture / rangeland	Grassland	1	622.0177557254127
1943	44	33395	Forest	Forest	0.3	40970.972292801096
1943	55	1369	Unmanaged grass / shrubland	Grassland	1	1679.570626406489
1943	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1943	77	1534	Water	Unsuitable	0	1882.0024403999664
1944	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1944	11	883	Urban	Urban	0.1	1083.3169197347918
1944	22	9128	Cropland	Cropland	0.5	11198.773322014924
1944	33	485	Pasture / rangeland	Grassland	1	595.026847192949
1944	44	33409	Forest	Forest	0.3	40988.14832550357
1944	55	1377	Unmanaged grass / shrubland	Grassland	1	1689.3855022364758
1944	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1944	77	1534	Water	Unsuitable	0	1882.0024403999664
1945	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1945	11	886	Urban	Urban	0.1	1086.9974981710368
1945	22	9128	Cropland	Cropland	0.5	11198.773322014924
1945	33	462	Pasture / rangeland	Grassland	1	566.8090791817369
1945	44	33429	Forest	Forest	0.3	41012.68551507854
1945	55	1378	Unmanaged grass / shrubland	Grassland	1	1690.612361715224
1945	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1945	77	1534	Water	Unsuitable	0	1882.0024403999664
1946	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1946	11	888	Urban	Urban	0.1	1089.4512171285335
1946	22	9119	Cropland	Cropland	0.5	11187.73158670619
1946	33	463	Pasture / rangeland	Grassland	1	568.0359386604854
1946	44	33416	Forest	Forest	0.3	40996.73634185481
1946	55	1397	Unmanaged grass / shrubland	Grassland	1	1713.9226918114427
1946	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1946	77	1534	Water	Unsuitable	0	1882.0024403999664
1947	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1947	11	893	Urban	Urban	0.1	1095.5855145222752
1947	22	9291	Cropland	Cropland	0.5	11398.751417050906
1947	33	446	Pasture / rangeland	Grassland	1	547.1793275217634
1947	44	33332	Forest	Forest	0.3	40893.68014563995
1947	55	1321	Unmanaged grass / shrubland	Grassland	1	1620.6813714265684
1947	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1947	77	1534	Water	Unsuitable	0	1882.0024403999664
1948	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1948	11	897	Urban	Urban	0.1	1100.4929524372685
1948	22	9434	Cropland	Cropland	0.5	11574.192322511919
1948	33	435	Pasture / rangeland	Grassland	1	533.6838732555316
1948	44	33205	Forest	Forest	0.3	40737.868991838914
1948	55	1312	Unmanaged grass / shrubland	Grassland	1	1609.639636117833
1948	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1948	77	1534	Water	Unsuitable	0	1882.0024403999664
1949	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1949	11	900	Urban	Urban	0.1	1104.1735308735135
1949	22	9548	Cropland	Cropland	0.5	11714.054303089231
1949	33	417	Pasture / rangeland	Grassland	1	511.6004026380613
1949	44	33133	Forest	Forest	0.3	40649.535109369026
1949	55	1285	Unmanaged grass / shrubland	Grassland	1	1576.5144301916278
1949	66	8	Sparse / no vegetation	Unsuitable	0	9.814875829986788
1949	77	1534	Water	Unsuitable	0	1882.0024403999664
1950	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1950	11	907	Urban	Urban	0.1	1112.7615472247521
1950	22	9691	Cropland	Cropland	0.5	11889.495208550245
1950	33	393	Pasture / rangeland	Grassland	1	482.15577514810093
1950	44	32987	Forest	Forest	0.3	40470.41362547177
1950	55	1306	Unmanaged grass / shrubland	Grassland	1	1602.278479245343
1950	66	7	Sparse / no vegetation	Unsuitable	0	8.588016351238439
1950	77	1534	Water	Unsuitable	0	1882.0024403999664
1951	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1951	11	916	Urban	Urban	0.1	1123.8032825334872
1951	22	9883	Cropland	Cropland	0.5	12125.052228469927
1951	33	392	Pasture / rangeland	Grassland	1	480.9289156693526
1951	44	32786	Forest	Forest	0.3	40223.814870243354
1951	55	1305	Unmanaged grass / shrubland	Grassland	1	1601.0516197665947
1951	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1951	77	1534	Water	Unsuitable	0	1882.0024403999664
1952	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1952	11	918	Urban	Urban	0.1	1126.2570014909838
1952	22	10023	Cropland	Cropland	0.5	12296.812555494696
1952	33	368	Pasture / rangeland	Grassland	1	451.48428817939225
1952	44	32666	Forest	Forest	0.3	40076.59173279355
1952	55	1307	Unmanaged grass / shrubland	Grassland	1	1603.5053387240914
1952	66	9	Sparse / no vegetation	Unsuitable	0	11.041735308735136
1952	77	1534	Water	Unsuitable	0	1882.0024403999664
1953	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1953	11	922	Urban	Urban	0.1	1131.1644394059772
1953	22	10169	Cropland	Cropland	0.5	12475.934039391956
1953	33	350	Pasture / rangeland	Grassland	1	429.40081756192194
1953	44	32600	Forest	Forest	0.3	39995.61900719616
1953	55	1243	Unmanaged grass / shrubland	Grassland	1	1524.986332084197
1953	66	7	Sparse / no vegetation	Unsuitable	0	8.588016351238439
