landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_pi	median_pi	sd_sampling	q025_sampling	q975_sampling	min_pi	max_pi	empirical_pi	sim_empirical_ratio
no_oland	Kexp1p2_D120	rep005	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.000225007102439539	0.000224748096533061	3.71475193329088e-06	0.000218925621790304	0.000233435381756429	0.000218925621790304	0.000233435381756429	NA	NA
no_oland	Kexp1p2_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231430829045832	0.000231984737274563	2.75601836845473e-06	0.000225337573531977	0.000235609881355972	0.000222187781655334	0.000236532646740001	0.0023	0.100622099585144
no_oland	Kexp1p2_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.000231014860006185	0.000231545872587041	3.21451696298131e-06	0.00022268637240631	0.000235464057831433	0.000216558106953932	0.00023575715388363	0.002389	0.0966993972399269
no_oland	Kexp1p2_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.000227953296592796	0.000227944329059225	2.48265806084217e-06	0.000223072811190935	0.000232872402031166	0.000221380068535781	0.000234004530788024	0.002345	0.0972082288242202
no_oland	Kexp1p2_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.000227133747419	0.000227230783415083	3.18222978707399e-06	0.00022043694550857	0.000232075007765691	0.000219027001742188	0.000234024102315999	0.002091	0.108624460745576
no_oland	Kexp1p2_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.000230278573624814	0.000230256687338894	2.03535917693671e-06	0.000225507195941969	0.000233879127201993	0.000224593089555832	0.0002362641160269	0.002252	0.102255139265015
no_oland	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.00023131724084151	0.000231887484003721	3.01254151797103e-06	0.000225469019178435	0.000235788863106056	0.000220320243739447	0.000237909644044689	0.0023	0.100572713409352
no_oland	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.000230503883420477	0.000231597947534282	3.55049296588512e-06	0.000221212826514597	0.000234778525366265	0.000215775800154924	0.00023624892299715	0.002389	0.0964855100127572
no_oland	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.000228576755154862	0.000228719775892473	1.74509918284071e-06	0.000225442053486998	0.000231785538264081	0.000223722482756341	0.000232419368786137	0.002345	0.0974740960148663
no_oland	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.000226641640756833	0.000227087154972071	2.97495168212936e-06	0.000220157004152934	0.00023069440567301	0.000216654580233618	0.000231340904745902	0.002091	0.108389115617806
no_oland	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.000231211391267389	0.000231356197713408	2.17921615388589e-06	0.000226398852616676	0.000234217676783093	0.000221671405578047	0.000235524737620015	0.002252	0.10266935669067
no_oland	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231770225619804	0.000232570240897751	3.32435781790417e-06	0.000224867979083041	0.0002357237041989	0.000211470779011222	0.000236781143927513	0.0023	0.100769663312958
no_oland	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.00023067365065146	0.000230976450493156	2.49792957841222e-06	0.000225433840677413	0.00023479629317043	0.000224592737000179	0.000236202555015979	0.002389	0.0965565720600503
no_oland	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.000227556519096643	0.000228143206827691	2.9859173902313e-06	0.000218962831198763	0.000231402271036323	0.000217760859109494	0.000231955864986616	0.002345	0.0970390273333233
no_oland	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.000227564759765091	0.000228298186955372	4.16908895273305e-06	0.000215760794577873	0.000233513812376117	0.00021336484641062	0.000234434584424003	0.002091	0.108830588122951
no_oland	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.000230945461623165	0.000231363640579007	2.21525542020981e-06	0.000226074176129885	0.000234356454237028	0.000221090018670685	0.000234848005196004	0.002252	0.102551270703004
no_oland	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231109450707543	0.000231153464591033	2.46665543518065e-06	0.000225055199172261	0.000235314148056522	0.000224689694685198	0.000236098434576296	0.0023	0.100482369872845
no_oland	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.000230302010490653	0.00023131957927675	4.11434403047995e-06	0.000219048214223762	0.000234812034173101	0.00021214419468159	0.000237402841814783	0.002389	0.0964010089956687
no_oland	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.000228706590052808	0.00022882931510699	2.71346069229148e-06	0.000223854207556513	0.000233121964984163	0.000218850558163491	0.000233560031783013	0.002345	0.0975294627090866
no_oland	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.000227172379082222	0.000227592748327861	3.13325462963929e-06	0.000219911195094597	0.000231120209113685	0.000212475824176802	0.000233246217307027	0.002091	0.108642935955151
no_oland	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.000230247143988597	0.000230667271725558	1.99532901055515e-06	0.000225611887100807	0.000232774970124198	0.000221721964579221	0.000235176808000773	0.002252	0.102241182943427
no_oland	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230234115681448	0.000230731994592969	3.15615520264647e-06	0.000223975015599676	0.000234087779399275	0.0002146301533913	0.000234503815038889	0.0023	0.100101789426717
no_oland	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.000230129709938435	0.000230006079203558	2.47258299549473e-06	0.000225041828331998	0.000234625819236296	0.000221177643768328	0.000234984389154427	0.002389	0.0963288865376453
no_oland	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.000227680693154932	0.000228021552368952	2.55109047315432e-06	0.000222024886273466	0.000231646598018021	0.000217139412514652	0.000232151643866873	0.002345	0.0970919800234252
no_oland	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.000227032747915627	0.000226997411353002	2.98566260929073e-06	0.000220634603248278	0.000231600559671369	0.000219605086666889	0.000232484058312564	0.002091	0.108576158735355
no_oland	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.00023074283346032	0.000230902805243389	1.97134002207248e-06	0.000226101051981097	0.000233982153995753	0.000224429872621834	0.000235066977691548	0.002252	0.102461293721279
no_oland	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231540977333939	0.000231940556806396	2.40304827697533e-06	0.000227000976080628	0.000235326091787083	0.000225107639892749	0.000235663915805929	0.0023	0.100669990145191
no_oland	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.000229946433858113	0.000230624148862575	3.09170104677562e-06	0.000223197444368732	0.000234933160256739	0.000218935157138879	0.000235765231120833	0.002389	0.0962521698861921
no_oland	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.000228134372791817	0.000228692688424471	3.26559809998662e-06	0.000221688939829073	0.000233545779770758	0.000214652660131556	0.000233857807342785	0.002345	0.097285446819538
no_oland	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.000227960621146536	0.000228545341873874	2.97293026602157e-06	0.000221843320663936	0.000232216489136443	0.000220815586151899	0.000234251427397972	0.002091	0.109019904900304
no_oland	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.000230478326446544	0.000230428893886074	2.14788332130887e-06	0.00022557603633478	0.000234014063200076	0.000224504271699464	0.000234518881032464	0.002252	0.102343839452284
skane_only	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231064848493115	0.000231291276131126	2.34351923881361e-06	0.000225833886527563	0.000234889369659402	0.00022544218364039	0.000235551470431978	0.0023	0.100462977605702
skane_only	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.000229180755231909	0.000229508204792296	3.29943225929967e-06	0.000221591497934161	0.00023357824426815	0.000216757088944695	0.000234483125513915	0.002389	0.0959316681590241
skane_only	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.000228945714348673	0.000229196435905122	2.73593980603395e-06	0.00022321096828252	0.000233456189390327	0.000219754504174921	0.000234142895643428	0.002345	0.0976314346902656
skane_only	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.000226406804812007	0.000227097531540376	4.21743559177448e-06	0.000214844098329191	0.000232367739011035	0.000212433311755776	0.000232711815082535	0.002091	0.108276807657584
skane_only	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.000230830950040683	0.0002313972575791	2.26578533610945e-06	0.000225732556834912	0.000234302608952299	0.000221879962342831	0.000234597613041932	0.002252	0.102500421865312
skane_only	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230943547846306	0.000231396494503369	3.05608312627078e-06	0.000222460552801828	0.000234608433956559	0.000220252949903022	0.000235813323690346	0.0023	0.100410238194046
skane_only	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.000230414802108726	0.000230801213171989	2.81950513570485e-06	0.000223061054709619	0.000234614078165622	0.000221666944510421	0.000235079811730462	0.002389	0.0964482218956577
skane_only	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.000228976432668184	0.000229613567652434	3.3088836270692e-06	0.00022194593514235	0.000233729595187654	0.000216308539002947	0.000234073312536565	0.002345	0.0976445341868587
skane_only	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.000228954580842635	0.000229352914377394	3.01073768672189e-06	0.000223482902016072	0.000233394587989584	0.000215455456646281	0.000234473955425262	0.002091	0.109495256261423
skane_only	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.000231280579422838	0.000231734437061718	1.98414339513568e-06	0.000227088810988112	0.000234347092745587	0.000223980340738151	0.000234786632305371	0.002252	0.102700079672663
skane_only	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230513467514767	0.000231558248544532	3.19537831804042e-06	0.000222003519213375	0.000234263102591557	0.000216635792403766	0.000234803628317211	0.0023	0.100223246745551
skane_only	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.000230920688059153	0.000231147380050027	2.55987746263861e-06	0.000225992298941594	0.000235545775393619	0.0002250573922797	0.000235970702359557	0.002389	0.0966599782583312
skane_only	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.000228603831595105	0.000228876758521901	2.64988473737021e-06	0.000223061022115673	0.000232699943441598	0.000218170774424972	0.000233368473118098	0.002345	0.0974856424712601
skane_only	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.000226283140995117	0.000226671195138294	3.75950055409601e-06	0.000216708893881324	0.000231583608078648	0.000215037549182103	0.000233912869095316	0.002091	0.108217666664331
skane_only	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.000230819221532283	0.000230952965437216	1.67541416931507e-06	0.000227065729259053	0.000233453936736689	0.000226273590550822	0.000235289997676728	0.002252	0.102495213824282
skane_only	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.00023066946069351	0.000231227637309029	2.67211361698393e-06	0.000225544296649062	0.000234544765516575	0.000221424475968986	0.000235016037347103	0.0023	0.100291069866744
skane_only	Kexp1p2_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.000230802683906422	0.000231363485261777	3.10100244147318e-06	0.000222508769817866	0.00023516494940743	0.000218736275571188	0.000236309615795758	0.002389	0.0966105834685734
skane_only	Kexp1p2_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.000227662916962821	0.000228320904680911	3.42866472550649e-06	0.000220800010000299	0.000232673677176841	0.000212021954178613	0.000233287631000958	0.002345	0.0970843995577061
skane_only	Kexp1p2_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.000226080247452339	0.000226797171955807	3.77211357819003e-06	0.00021705711453886	0.000231084138255247	0.000213830965486535	0.000232587162680088	0.002091	0.108120634840908
skane_only	Kexp1p2_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.000229151684915916	0.00022933796140003	2.21838801144448e-06	0.000224006488488425	0.000232571923998873	0.000221987282124683	0.000234223390567071	0.002252	0.101754744634066
skane_only	Kexp1p2_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231021602864904	0.000231271619945722	2.60052017613807e-06	0.000224462305572384	0.000234693351125316	0.000220615244815338	0.000235309957886557	0.0023	0.100444175158654
skane_only	Kexp1p2_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.000229955900979293	0.000230510469302911	3.08772355340127e-06	0.000221519831552653	0.000234190115582408	0.000220030981407202	0.000236237987754909	0.002389	0.096256132682835
skane_only	Kexp1p2_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.000227506510200898	0.000228645998664452	4.41497723454639e-06	0.00021681036465714	0.000232891761687118	0.000208959609205494	0.000233878226560677	0.002345	0.0970177015782083
skane_only	Kexp1p2_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.000225432362727933	0.000225539941194046	3.20606441652308e-06	0.000218323534213713	0.000230639734699864	0.000218161241782593	0.000231691801983894	0.002091	0.107810790400733
skane_only	Kexp1p2_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.000231663385221099	0.000231804552782752	1.74333365392057e-06	0.000227849526151487	0.000234372367306256	0.000226892052104451	0.000234864168800904	0.002252	0.10287006448539
skane_only	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230823096261741	0.000231461686176517	3.20109363236659e-06	0.000222324898709593	0.000234821604284269	0.000218049816465964	0.00023523117984161	0.0023	0.100357867939887
skane_only	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.000229189516237551	0.000229473492065045	3.00212422592963e-06	0.000220734062465621	0.000234291072183827	0.000217058732571877	0.0002352563802998	0.002389	0.0959353353861661
skane_only	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.000227691388628688	0.00022818846794967	3.3244591296436e-06	0.000220202961522161	0.000231984842362032	0.000215781625520883	0.000234421130921934	0.002345	0.0970965409930441
skane_only	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.000226998876756332	0.000227390814242454	2.76754053287665e-06	0.000220144431200864	0.000230816318651699	0.000218455062946044	0.000231729759685958	0.002091	0.108559960189542
skane_only	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.000230214085853646	0.00023068562966971	2.66213355866711e-06	0.000223504995897394	0.000234187209831006	0.000218375985907955	0.00023443250768963	0.002252	0.102226503487409
skane_only	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231622699014361	0.000232339347597956	3.19513127185784e-06	0.00022406071625125	0.000235888180130327	0.000219438581852266	0.000236871872812203	0.0023	0.100705521310592
skane_only	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.000230908084905335	0.000231613936992628	3.27842741754208e-06	0.00022289614426308	0.000235200437035574	0.000221389414775654	0.000236145476064171	0.002389	0.0966547027648953
skane_only	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.000226696208151452	0.000227435043829334	3.43760509682303e-06	0.000217573506876151	0.000231184005236332	0.000215084606944493	0.000232421348089298	0.002345	0.0966721569942228
