sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
605	Femöre naturreservat	T	12	6503269.63464588	621327.50811488	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
2644	Visslaren	P	233	6502189.86076263	418652.900400252	Västra Götalands län	Artportalen, SLU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
1024	Grinstad	T	13	6502125.94899612	356807.932771845	Västra Götalands län	Länsstyrelsen i Västra Götalands län	211.0	Non-irrigated arable land	Cropland	0
754	Dordislund	T	357	6501181.10307717	389450.777009918	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
2797	Österhagen	P	1	6500487.68852608	597988.429960666	Östergötlands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
1060	Österäng A	T	9	6500423.92974491	415681.492123098	Västra Götalands län	Länsstyrelsen i Västra Götalands län	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
1061	Österäng B	T	40	6500325.44578125	415720.658529051	Västra Götalands län	Länsstyrelsen i Västra Götalands län	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
3923	Gubbalyckan	P	389	6498905.91317787	428181.117789166	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
2660	Bölets ängar 2	T	414	6497581.56252404	471777.81242348	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
3139	Rösgången-De Geersgatan	T	3	6497212.17589222	567006.033885735	Östergötlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
2665	Klangahamn	P	14	6497165.48367306	473255.234068247	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
584	Läckö	T	14	6496951.84995415	392169.314186991	Västra Götalands län	Trafikverket	211.0	Non-irrigated arable land	Cropland	0
2694	Ängsvägen, Färgelanda	P	175	6496368.82479246	324697.636599103	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
579	Åbacken	P	115	6496195.24004978	323726.270879532	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
2682	Stigevivägen 18	P	170	6496187.47929562	329067.372027507	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
