sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
618	Gullaskruv	P	2	6303619.40977678	541236.358963365	Kalmar län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
4284	Skede ås	T	6	6301239.59356051	607790.043188313	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1
3938	Skede ås södra	T	68	6300561.97094882	607469.105369874	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1
485	Stibbetorp 106	P	2	6300396.46112722	540390.61785374	Kalmar län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
354	Slättingebygd	P	1	6300364.38753101	559814.062239899	Kalmar län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
575	Sörby Tall	P	2	6298598.45557517	605688.666625364	Kalmar län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
4245	Fjärilsslingan Karum	T	3	6295311.09814544	600922.545342565	Kalmar län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
37	Lammakulla Mellangård	T	143	6289876.47019509	451608.484145214	Kronobergs län	Svensk Dagfjärilsövervakning, LU	231	Pastures	Pasture/Rangeland	1
3286	Fagerhults naturreservat	T	1	6289661.95456203	453510.20442196	Kronobergs län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
2885	Dyestad	T	9	6287309.54786221	600794.789530164	Kalmar län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
3285	Moen	T	1	6286910.24422371	455559.738118169	Kronobergs län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
480	Vapnö	T	3	6285217.36519115	367503.366550428	Hallands län	Svensk Dagfjärilsövervakning, LU	131	Mineral extraction sites	Urban	1
973	Rosenborg	T	5	6282616.76128566	599270.381674842	Kalmar län	Svensk Dagfjärilsövervakning, LU	311	Broad-leaved forest	Forest	1
38	Strandvägen	P	1	6279833.47121457	590514.320369383	Kalmar län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
100	Dörby Malm	P	15	6277365.96627765	600623.802353297	Kalmar län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
178	Djäknabygd, Stenbrohult socken	T	44	6274455.16372452	450514.400623052	Kronobergs län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
2880	Stora Frö	P	1	6269989.59238152	586989.942135891	Kalmar län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
2908	Kleva strand	T	4	6267636.07816905	585701.926178237	Kalmar län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
3928	Bjärby-Parteby alvar	T	4	6256381.94070109	590296.842026131	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	333	Sparsely vegetated areas	Sparse/no vegetation	1
240	Ulvered	T	4	6251804.64312344	384347.364389978	Hallands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
498	Segerstad södra	T	1	6246980.10325686	595479.773742016	Kalmar län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
76	Linjevägen pkt 13 - slinga	T	4	6245227.63834264	496757.020750042	Blekinge län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
81	Bårabygd tåtelhörnet	P	2	6239433.28490756	504227.16613795	Blekinge län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
78	Bårabygd kfukslok	P	1	6239427.86067149	504703.057313592	Blekinge län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
79	Bårabygd klyvningen	P	17	6239397.81023408	504612.442070767	Blekinge län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
77	Bårabygd altanen	P	4	6239381.96345688	504539.654024813	Blekinge län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
80	Bårabygd ängen	P	7	6239356.63656837	504510.961049748	Blekinge län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
300	Lilla Silpinge - slinga	T	2	6238029.20360752	511605.968556935	Blekinge län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
