replicate	K	n_runs	mean_cv	sd_cv	best_loglikelihood	top3_ll_spread	top3_converged	best_run	best_q_file	best_run_dir
rep002	3	20	0.3582895	2.3050288273121236e-05	-8059276.084685	0.0004120003432035446	True	run08	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K3/run08/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K3/run08
rep002	4	20	0.35765649999999993	4.43995021309296e-05	-8039343.319616	0.0021629994735121727	True	run02	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K4/run02/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K4/run02
rep002	5	20	0.35705099999999995	3.522857691673203e-05	-8020700.687713	0.003126000054180622	True	run03	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K5/run03/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K5/run03
rep002	6	20	0.3565545	5.605213738353263e-05	-8003231.065109	0.012736000120639801	True	run09	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K6/run09/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K6/run09
rep002	7	20	0.35604749999999996	8.931758829562822e-05	-7986229.724212	0.010621000081300735	True	run15	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K7/run15/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K7/run15
rep002	8	20	0.35570899999999994	0.00011433560940908816	-7971189.309668	0.13387600053101778	True	run06	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K8/run06/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K8/run06
rep003	1	20	0.359094	8.825799501565206e-06	-8137690.778332	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K1/run01
rep003	2	20	0.3579635	9.333020044876629e-06	-8109243.60666	0.0	True	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K2/run14/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K2/run14
rep003	3	20	0.35728450000000006	2.1392325234698085e-05	-8087650.209325	0.000611000694334507	True	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K3/run14/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K3/run14
rep003	4	20	0.35673800000000006	3.518372829649543e-05	-8068619.953103	0.001029999926686287	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K4/run01/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K4/run01
rep003	5	20	0.35625650000000003	5.234249556627275e-05	-8050592.804899	0.0056070005521178246	True	run16	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K5/run16/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K5/run16
rep003	6	20	0.3557365	6.659184397664809e-05	-8033276.251693	0.002856999635696411	True	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K6/run14/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K6/run14
rep003	7	20	0.355436	5.235506309401971e-05	-8017997.867532	0.040470000356435776	True	run12	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K7/run12/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K7/run12
rep003	8	20	0.35510150000000007	6.285111898681394e-05	-8003201.143577	0.21529299952089787	True	run11	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K8/run11/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep003/K8/run11
rep004	1	20	0.36115200000000003	6.95852373936804e-06	-8117091.778399	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K1/run01
rep004	2	20	0.36001249999999996	1.7129537431930774e-05	-8089072.704071	0.0	True	run15	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K2/run15/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K2/run15
rep004	3	20	0.35936150000000006	2.9428772172476124e-05	-8067788.298474	0.00028800033032894135	True	run15	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K3/run15/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K3/run15
rep004	4	20	0.3588005	2.9995613714429367e-05	-8048427.514108	0.0009349994361400604	True	run08	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K4/run08/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep004/K4/run08
