landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_H	median_H	sd_sampling	q025_sampling	q975_sampling	min_H	max_H	empirical_H	sim_empirical_ratio
skane_only	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.232427914361781	0.233035496208498	0.00366196320374185	0.222950451019284	0.237783460076547	0.22101104408321	0.23899123155646	2.147	0.10825706304694
skane_only	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.230753891119164	0.231639045741546	0.00670696034222436	0.215351642884269	0.237548942909593	0.183889865651006	0.239050627507897	2.249	0.102602886224617
skane_only	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.230517443583788	0.232408610677564	0.00691559094207785	0.207948066659198	0.237227688285295	0.202152829501752	0.237862708479144	2.2752	0.101317441800188
skane_only	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.22900212374098	0.231001830479926	0.00628256617126997	0.209856871768117	0.236074212452294	0.205677850097944	0.238293974735235	2.224	0.102968580818786
skane_only	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.232291368234291	0.233241629673503	0.00495958516041693	0.217451898483863	0.23747552803794	0.213567181908468	0.239502184306405	1.927	0.120545598460971
skane_only	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.227885996340486	0.231056707174189	0.00923690084198341	0.20486067155955	0.23718288307845	0.200958454391321	0.237874329426164	2.147	0.106141591215876
skane_only	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.230643776190064	0.232134872814416	0.00692018716895212	0.207108001311256	0.237489030471621	0.205313727091304	0.238864692355571	2.249	0.10255392449536
skane_only	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.228676582278448	0.231892124143323	0.0112259330365764	0.195980298931044	0.239383244835948	0.172330897014703	0.241416135834719	2.2752	0.100508343125197
skane_only	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.228319457664348	0.231176144685232	0.00719312762600888	0.209534874694427	0.236005616584465	0.208299019259215	0.236305501578409	2.224	0.102661626647638
skane_only	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.228767380611168	0.230216494258666	0.0053127479549142	0.21611899430657	0.236308821848986	0.212298100710049	0.237923211187441	1.927	0.118716855532521
skane_only	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.230968129733567	0.231415019707318	0.0028482748035467	0.224373532823158	0.235435544572297	0.220985219756498	0.236066626556322	2.147	0.107577144729188
skane_only	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.230295457671372	0.232222675525237	0.00715679226671486	0.206623795185406	0.237293282075144	0.204538997289944	0.238007324708731	2.249	0.102399047430579
skane_only	Kexp1p2_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.229900138878064	0.232418940408249	0.00853362693665188	0.206060566619816	0.238583465437677	0.204146467523921	0.239515465388714	2.2752	0.101046122924606
skane_only	Kexp1p2_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.228025383143914	0.230004365860674	0.00639783940561195	0.213269717945154	0.235099828325041	0.208318387504249	0.236667042152377	2.224	0.102529398895645
skane_only	Kexp1p2_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.223600449322625	0.229703696913955	0.0128563058308397	0.196237767468362	0.234532477090151	0.182570611474975	0.235783481259873	1.927	0.116035521184549
skane_only	Kexp1p2_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.228771770746709	0.229365213774551	0.00391607643141116	0.217913900300228	0.234529756312873	0.211978985815679	0.235195055529791	2.147	0.106554154982165
skane_only	Kexp1p2_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.232038186535206	0.232103883622362	0.00288569098405653	0.225053842429978	0.237249897206267	0.223432074712463	0.237563146289284	2.249	0.103173937988086
skane_only	Kexp1p2_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.22919368859653	0.230662886191831	0.00616849526753671	0.216969020466244	0.23854550367741	0.205076143285554	0.240899649300478	2.2752	0.100735622625057
skane_only	Kexp1p2_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.229690019243772	0.231663578851922	0.00617183452051187	0.214016202389174	0.235155512029513	0.211843408100441	0.235634069083896	2.224	0.103277886350617
